Ticket ID,Priority,Status,Subject,Description,Address,Raised At,Closed At,order_id
3P1000,P3,OPEN,Damaged product delivered,Laptop sleeve arrived with torn packaging and visible scratch on product.,Hyderabad,2026-01-12 22:20:34.160042+00:00,,ORD508738
2P1001,P2,CLOSED,Prime exclusive product out of stock after order,Order #9845123 for Prime-exclusive Echo Dot (new color) cancelled by system due to stock unavailability.,Hyderabad,2026-01-31 11:00:34.160042+00:00,2026-02-01 11:00:34.160042+00:00,ORD678411
3P1002,P3,CLOSED,Partial order delivered,"Order had 3 items — only 1 was delivered, no communication about remaining items.",Hyderabad,2026-02-12 07:37:34.160042+00:00,2026-02-12 08:07:34.160042+00:00,ORD349379
3P1003,P3,CLOSED,Delivery agent unreachable for last mile,Agent number +91-98XXXXXX45 not answering calls/WhatsApp since yesterday.,Chennai,2025-12-13 19:28:34.160042+00:00,2025-12-16 19:28:34.160042+00:00,ORD636694
1P1004,P1,OPEN,Critical supply chain failure,Entire lot of high-demand SKU XXXX-5678 has not reached the central warehouse. Expected arrival was 3 days ago. Impacts multiple cities.,Bhopal,2026-02-12 21:09:34.160042+00:00,,ORD179472
3P1005,P3,CLOSED,Standard delivery running late by 4+ days,Order #875421 placed 7 days ago still shows 'out for delivery' status.,Hyderabad,2025-12-16 18:02:34.160042+00:00,2025-12-17 02:02:34.160042+00:00,ORD521641
3P1006,P3,CLOSED,App crashed during payment – money deducted,App closed during Paytm payment flow. Money deducted but cart still active.,Hyderabad,2026-01-28 03:37:34.160042+00:00,2026-01-28 05:37:34.160042+00:00,ORD229820
2P1007,P2,CLOSED,Prime same-day delivery missed,Customer in Bangalore was promised same-day delivery but order is still in 'processing' status at 8 PM.,Hyderabad,2026-01-16 00:28:34.160042+00:00,2026-01-16 01:28:34.160042+00:00,ORD894267
3P1008,P3,CLOSED,Partial order delivered,"Order had 3 items — only 1 was delivered, no communication about remaining items.",Ahmedabad,2026-01-27 00:19:34.160042+00:00,2026-01-27 04:19:34.160042+00:00,ORD575650
3P1009,P3,CLOSED,Damaged product delivered,Laptop sleeve arrived with torn packaging and visible scratch on product.,Hyderabad,2026-02-10 04:16:34.160042+00:00,2026-02-11 04:16:34.160042+00:00,ORD544654
3P1010,P3,OPEN,Delivery agent unreachable for last mile,Agent number +91-98XXXXXX45 not answering calls/WhatsApp since yesterday.,Hyderabad,2026-01-31 09:55:34.160042+00:00,,ORD979335
2P1011,P2,OPEN,Prime exclusive product out of stock after order,Order #9845123 for Prime-exclusive Echo Dot (new color) cancelled by system due to stock unavailability.,Pune,2025-12-29 09:28:34.160042+00:00,,ORD321359
3P1012,P3,OPEN,Damaged product delivered,Laptop sleeve arrived with torn packaging and visible scratch on product.,Bhopal,2026-02-01 09:14:34.160042+00:00,,ORD986141
3P1013,P3,CLOSED,Received completely wrong product,"Ordered Noise ColorFit Pro 5, received boAt Airdopes instead.",Jaipur,2025-11-27 00:52:34.160042+00:00,2025-11-27 01:52:34.160042+00:00,ORD885484
3P1014,P3,OPEN,Delivery agent unreachable for last mile,Agent number +91-98XXXXXX45 not answering calls/WhatsApp since yesterday.,Indore,2025-11-24 15:48:34.160042+00:00,,ORD680787
3P1015,P3,CLOSED,Partial order delivered,"Order had 3 items — only 1 was delivered, no communication about remaining items.",Indore,2026-02-17 06:28:34.160042+00:00,2026-02-17 14:28:34.160042+00:00,ORD555173
2P1016,P2,CLOSED,Priority delivery partner no-show,"Prime Blue Dart slot booked, but delivery agent marked 'not reachable' three times.",Indore,2025-12-21 14:27:34.160042+00:00,2025-12-21 15:27:34.160042+00:00,ORD736621
1P1017,P1,OPEN,Vendor dispatch system outage,Primary vendor's dispatch system crashed — no shipments processed in last 48 hours.,Delhi,2025-12-13 15:57:34.160042+00:00,,ORD464592
